day,x,y,z
33,-3.742436023812704E11,-1.8573577225927402E11,1.0055632353913281E7
34,-3.809598148095854E11,-1.9042921334596378E11,1.0108177800174307E7
35,-3.8767114312233386E11,-1.9512019651106552E11,1.0160689749190597E7
36,-3.943777744891639E11,-1.9980880007484183E11,1.0213169609486222E7
37,-4.010798855178888E11,-2.0449509875836984E11,1.0265618696832279E7
38,-4.077776430330408E11,-2.091791638926409E11,1.0318038242132692E7
39,-4.1447120478419324E11,-2.138610636135739E11,1.0370429398512563E7
40,-4.211607200914933E11,-2.1854086304395215E11,1.0422793247701636E7
41,-4.2784633043494586E11,-2.2321862446322748E11,1.0475130805793317E7
42,-4.345281699932117E11,-2.2789440746607196E11,1.0527443028449409E7
43,-4.412063661370063E11,-2.3256826911049417E11,1.0579730815611817E7
44,-4.478810398816023E11,-2.3724026405627924E11,1.0631995015774969E7
45,-4.5455230630242474E11,-2.419104446944547E11,1.0684236429866096E7
46,-4.61220274917285E11,-2.4657886126843304E11,1.0736455814774908E7
47,-4.6788505003840814E11,-2.5124556198743103E11,1.078865388656926E7
48,-4.7454673109706757E11,-2.559105931327221E11,1.0840831323429137E7
49,-4.8120541294333923E11,-2.605739991572339E11,1.0892988768327536E7
50,-4.8786118612322504E11,-2.6523582277896475E11,1.0945126831483545E7
51,-4.9451413713516095E11,-2.6989610506865665E11,1.0997246092610061E7
52,-5.011643486677195E11,-2.745548855321275E11,1.1049347102976054E7
53,-5.078118998201343E11,-2.7921220218763617E11,1.110143038730109E7
54,-5.1445686630711304E11,-2.8386809163862396E11,1.1153496445497882E7
55,-5.210993206492602E11,-2.885225891421509E11,1.1205545754276942E7
56,-5.2773933235030493E11,-2.931757286733203E11,1.125757876862589E7
57,-5.343769680622145E11,-2.9782754298596356E11,1.1309595923174666E7
58,-5.410122917391717E11,-3.0247806366983575E11,1.1361597633456752E7
59,-5.476453647813051E11,-3.0712732120455554E11,1.141358429707544E7
60,-5.542762461689784E11,-3.117753450105031E11,1.1465556294783326E7
61,-5.609049925883721E11,-3.164221634968768E11,1.1517513991482383E7
62,-5.675316585490261E11,-3.2106780410709143E11,1.1569457737151263E7
63,-5.74156296493953E11,-3.2571229336169147E11,1.1621387867705887E7
64,-5.807789569028759E11,-3.303556568989355E11,1.1673304705798749E7
65,-5.873996883891013E11,-3.349979195132012E11,1.1725208561561933E7
66,-5.940185377904911E11,-3.3963910519134644E11,1.1777099733298356E7
67,-6.006355502549581E11,-3.4427923714715454E11,1.1828978508125335E7
68,-6.072507693208787E11,-3.4891833785398083E11,1.1880845162574248E7
69,-6.138642369927772E11,-3.5355642907571106E11,1.1932699963149728E7
70,-6.204759938126144E11,-3.581935318961341E11,1.1984543166851504E7
71,-6.270860789269812E11,-3.628296667468238E11,1.2036375021661786E7
72,-6.336945301504773E11,-3.674648534336188E11,1.2088195767000822E7
73,-6.403013840255306E11,-3.7209911116178314E11,1.2140005634153016E7
74,-6.469066758788959E11,-3.7673245855992535E11,1.2191804846665844E7
75,-6.535104398750502E11,-3.813649137027468E11,1.2243593620723585E7
76,-6.601127090666879E11,-3.8599649413268835E11,1.2295372165497702E7
77,-6.667135154425021E11,-3.906272168805364E11,1.2347140683475621E7
78,-6.733128899724258E11,-3.952570984850486E11,1.2398899370769463E7
79,-6.799108626504923E11,-3.998861550116534E11,1.2450648417406172E7
80,-6.865074625354648E11,-4.0451440207027496E11,1.2502388007600375E7
81,-6.931027177893722E11,-4.0914185483233215E11,1.2554118320011213E7
82,-6.996966557140789E11,-4.1376852804695593E11,1.2605839527984247E7
83,-7.062893027860094E11,-4.1839443605646844E11,1.2657551799779467E7
84,-7.128806846891365E11,-4.230195928111627E11,1.2709255298786407E7
85,-7.194708263463368E11,-4.276440118834209E11,1.2760950183727194E7
86,-7.260597519492103E11,-4.3226770648120526E11,1.281263660884838E7
87,-7.326474849864525E11,-4.368906894609557E11,1.2864314724102315E7
88,-7.392340482708625E11,-4.415129733399241E11,1.2915984675318727E7
89,-7.458194639650667E11,-4.4613457030797455E11,1.296764660436719E7
90,-7.524037536060275E11,-4.5075549223887726E11,1.3019300649311043E7
91,-7.589869381284095E11,-4.553757507011211E11,1.3070946944553334E7
92,-7.655690378868624E11,-4.5999535696826996E11,1.3122585620975269E7
93,-7.721500726772826E11,-4.64614322028885E11,1.317421680606766E7
94,-7.787300617571093E11,-4.692326565960346E11,1.3225840624055814E7
95,-7.853090238647058E11,-4.738503711164122E11,1.327745719601825E7
96,-7.918869772378768E11,-4.784674757790813E11,1.3329066639999652E7
97,-7.984639396315657E11,-4.8308398052386584E11,1.3380669071118383E7
98,-8.050399283347767E11,-4.876998950494023E11,1.3432264601668896E7
99,-8.116149601867616E11,-4.923152288208705E11,1.3483853341219347E7
